,1a. open (SAR),1b. open (USD),2a. high (SAR),2b. high (USD),3a. low (SAR),3b. low (USD),4a. close (SAR),4b. close (USD),5. volume,6. market cap (USD)
2021-01-08,147887.57299200,39432.48000000,157329.28000000,41950.00000000,136889.60000000,36500.00000000,152201.77062400,40582.81000000,139789.95749900,139789.95749900
2021-01-07,137899.80774400,36769.36000000,151384.89600000,40365.00000000,136139.52000000,36300.00000000,147886.82291200,39432.28000000,132825.70043700,132825.70043700
2021-01-06,127324.31731200,33949.53000000,138536.81318400,36939.21000000,124843.31520000,33288.00000000,137899.80774400,36769.36000000,127139.20131000,127139.20131000
2021-01-05,119974.35840000,31989.75000000,128863.74400000,34360.00000000,112136.96000000,29900.00000000,127324.31731200,33949.53000000,116049.99703800,116049.99703800
2021-01-04,123763.38752000,33000.05000000,126013.44000000,33600.00000000,105498.75200000,28130.00000000,119970.45798400,31988.71000000,140899.88569000,140899.88569000
2021-01-03,120674.55808000,32176.45000000,130431.82374400,34778.11000000,119873.99769600,31962.99000000,123763.38752000,33000.05000000,120957.56675000,120957.56675000
2021-01-02,110005.60768000,29331.70000000,124888.32000000,33300.00000000,108561.06611200,28946.53000000,120681.60883200,32178.33000000,129993.87336200,129993.87336200
2021-01-01,108475.18195200,28923.63000000,111011.84000000,29600.00000000,107353.58732800,28624.57000000,110005.57017600,29331.69000000,54182.92501100,54182.92501100
2020-12-31,108294.86272000,28875.55000000,109886.72000000,29300.00000000,104448.64000000,27850.00000000,108475.18195200,28923.63000000,75508.50515200,75508.50515200
2020-12-30,102704.70400000,27385.00000000,108746.59840000,28996.00000000,102460.92800000,27320.00000000,108294.82521600,28875.54000000,95356.05782600,95356.05782600
2020-12-29,101558.65676800,27079.42000000,102798.46400000,27410.00000000,97060.35200000,25880.00000000,102704.70400000,27385.00000000,69411.59260600,69411.59260600
2020-12-28,98566.28761600,26281.54000000,103136.00000000,27500.00000000,97889.19040000,26101.00000000,101558.61926400,27079.41000000,79721.74249600,79721.74249600
2020-12-27,99360.84736000,26493.40000000,106593.86880000,28422.00000000,96385.28000000,25700.00000000,98566.73766400,26281.66000000,148455.58621400,148455.58621400
2020-12-26,92681.64748800,24712.47000000,100762.10931200,26867.03000000,91884.80000000,24500.00000000,99360.80985600,26493.39000000,97806.51338600,97806.51338600
2020-12-25,88993.20409600,23728.99000000,92971.89094400,24789.86000000,87885.37344000,23433.60000000,92681.64748800,24712.47000000,79519.94356900,79519.94356900
